questions,delta_static,n_students,q_error_rate,delta_cumulative,learning_effect,relative_improvement,before_error,after_error,delta_chronological,improvement_rate,irt_discrimination,D_blend
314,0.0130083825682977,4715,0.1630965005302227,0.007139379076983,-0.007139379076983,-0.0457654048411588,0.1492852957737905,0.1223209618400418,-0.0269643339337486,0.1582184517497349,1.2331436860805334,0.1645746189597134
328,-0.0313573790607489,5523,0.1810610175629187,-0.035133487151815,0.035133487151815,0.1613460806460212,0.2515348899171598,0.2275593471810089,-0.0239755427361509,0.0999456816947311,1.1392621376307197,0.1829687807400643
335,0.017662798194713,5170,0.2344294003868472,0.0232427727654501,-0.0232427727654501,-0.1144580053359277,0.2067904734902182,0.1577684463107378,-0.0490220271794804,0.0468085106382978,1.3750976286089611,0.2350044492869573
336,0.0035685113529632,15915,0.224693685202639,0.0051221514045251,-0.0051221514045251,-0.0235373962661313,0.2256938008444032,0.2129133154602323,-0.0127804853841708,0.1136663524976437,1.0236288589596076,0.2249480061098531
349,-0.0299304662735579,6029,0.2094874771935644,-0.0302480896157868,0.0302480896157868,0.1277517823741172,0.2461719138763657,0.2150678931230836,-0.031104020753282,0.1381655332559296,1.35983076309493,0.2101302618388234
354,-0.0418729668527534,6184,0.1793337645536869,-0.0470632596712693,0.0470632596712693,0.2068981256275378,0.2456821572739727,0.2161476355247981,-0.0295345217491746,0.2522639068564036,1.2878092990101353,0.1802028288024834
360,0.0103542303771661,6540,0.1581039755351682,0.0122673137275644,-0.0122673137275644,-0.0845833373095757,0.1484571111573399,0.1203291814946619,-0.028127929662678,0.0711009174311926,1.0125083664849113,0.1591046075760449
370,-0.0251509599503531,6497,0.1943974141911651,-0.0307208844736947,0.0307208844736947,0.1358260433664646,0.2343752766113351,0.2212455582569665,-0.0131297183543686,0.4274280437124826,1.375960150791873,0.1951269514313994
409,0.043353466810933,8217,0.2026286966046002,0.0506083856308415,-0.0506083856308415,-0.3302503445026505,0.1563731610596142,0.1027095148078134,-0.0536636462518007,0.2175976633807959,1.0768078287032612,0.2031837940919588
419,0.0071572729617394,4894,0.224969350224765,0.0054744097416702,-0.0054744097416702,-0.0247955141332483,0.2224416668294952,0.1875959471906662,-0.0348457196388289,0.2417245606865549,1.370275167898805,0.2256033625075718
420,-0.0268487744079767,4814,0.2341088491898629,-0.0380078065787479,0.0380078065787479,0.1477242700245591,0.2756944444444444,0.2780172413793103,0.0023227969348658,0.024304113003739,1.5155400708033655,0.2346591558606115
421,-0.02734406577745,4922,0.1928078017066233,-0.0370508011890678,0.0370508011890678,0.1606421242882467,0.2299438800747823,0.2427601001072577,0.0128162200324754,0.1966680211296221,1.2228427730998213,0.1937624344406417
442,0.0139790211260842,6793,0.2794052701310172,0.0122785558912892,-0.0122785558912892,-0.0467381476430054,0.2645218972638327,0.2299006323396567,-0.034621264924176,0.0973060503459443,1.0644391820135968,0.2794643071731988
448,0.0136952998379254,4936,0.2899108589951377,0.0236381089512838,-0.0236381089512838,-0.0983606229972129,0.2563346778363843,0.1278772378516624,-0.1284574399847219,0.0324149108589951,1.0048253752952203,0.289886700375801
987,0.0153274354557534,7949,0.2277015976852434,0.0121993022958254,-0.0121993022958254,-0.0567898425559537,0.2098968667968259,0.1961913197519929,-0.0137055470448329,0.1710907032331111,1.2146241828122883,0.2281183791813289
1102,-0.0228994490358126,6776,0.2873376623376623,-0.0418340026773761,0.0418340026773761,0.1263203863187433,0.3846298808985376,0.1398104265402843,-0.2448194543582532,0.0460448642266824,1.0401322572479312,0.2872893592057696
1964,-0.0277848809333546,6257,0.2101646156304938,-0.0372882546983529,0.0372882546983529,0.1579528417803851,0.2771445309230898,0.1786350148367952,-0.0985095160862945,0.0479463001438389,1.1157309393549748,0.2107787091836371
2377,0.0336050532853412,4723,0.182299385983485,0.0431808073672919,-0.0431808073672919,-0.3072570942321486,0.1773211567732115,0.1261988894497728,-0.0511222673234387,0.0027524878255346,1.3740132515174546,0.1834043379089948
