kc_id,kc_route,en_name,top_module,depth,error_rate,learning_rate_b,cluster,prior_if_wrong,prior_if_correct
0,乘法原理里的其他类型,Other Types in Multiplication Principle,Extended Thinking,5.0,0.2832453192510801,1.0579310280647909e-17,0,0.11800486618004868,0.8819951338199513
1,加乘原理综合,Comprehensive Addition-Multiplication Principle,Extended Thinking,4.0,0.2306660706303084,0.3444726262526822,9,0.6076642335766423,0.39233576642335766
2,物品搭配,Item Matching,Extended Thinking,5.0,0.0861746361746361,4.999999983589683,5,0.33333333333333337,0.6666666666666666
3,染色计数问题,Coloring Counting Problems,Extended Thinking,4.0,0.2708765460551586,0.024635370347096,9,0.6076642335766423,0.39233576642335766
4,物体数量组合,Object Quantity Combinations,Extended Thinking,5.0,0.105606258148631,0.23385995822451824,5,0.33333333333333337,0.6666666666666666
5,路线搭配问题,Route Matching Problems,Extended Thinking,5.0,0.1118629631382198,0.040813476272464,5,0.33333333333333337,0.6666666666666666
7,陷阱型不规则图形求周长,Trap Irregular Shape Perimeter,Extended Thinking,6.0,0.200058326042578,7.98275265717742e-06,6,0.49330900243309006,0.5066909975669099
8,楼梯型不规则图形求周长,Staircase Irregular Shape Perimeter,Extended Thinking,6.0,0.1408061844284925,0.23385995822451824,6,0.49330900243309006,0.5066909975669099
9,长方形周长,Rectangle Perimeter,Extended Thinking,6.0,0.2022371842827117,0.1045680910975207,6,0.49330900243309006,0.5066909975669099
10,长方形组合图形周长,Composite Rectangle Perimeter,Extended Thinking,6.0,0.2652051822069053,1.086654904630837,6,0.49330900243309006,0.5066909975669099
11,公式法长方形正方形周长,Formula for Rectangle/Square Perimeter,In-Class Question Types,5.0,0.187532946758039,0.1122773104909209,0,0.11800486618004868,0.8819951338199513
12,几何方法整体减空白,Whole Minus Blank Method,Extended Thinking,5.0,0.3041601933367858,0.0746566835731327,0,0.11800486618004868,0.8819951338199513
13,几何方法差不变,Difference Invariance Method,Extended Thinking,5.0,0.2035623409669211,4.726840892373021e-20,0,0.11800486618004868,0.8819951338199513
