case,student_id,fast_error_rate,slow_correct_rate,timeout_rate,time_on_easy_share,carelessness,negation_error_gap,context_switch_cost,cognitive_load_sensitivity,end_of_match_decay,pressure_sensitivity,mean_tau,error_rate
knowledge_absence,knowledge_absence_0,0.0,0.36363636363636365,0.45,0.5449208722048043,0.6190476190476191,0.1358428805237316,-0.11317254174397029,0.22518449084426034,-0.20000000000000007,0.23404255319148937,1.046018201588646,0.8166666666666667
knowledge_absence,knowledge_absence_1,0.0,0.6363636363636364,0.5,0.5136237759716955,0.7307692307692307,-0.17647058823529416,0.07692307692307687,-0.15184272668356763,-0.20000000000000007,-0.11590296495956875,1.0538310859065176,0.8166666666666667
knowledge_absence,knowledge_absence_2,0.02,0.7,0.5666666666666667,0.6561315006396735,0.8125,-0.039999999999999925,0.1298701298701298,-0.08562148618008848,-0.19999999999999996,-0.2964959568733154,1.0779270463331032,0.8333333333333334
knowledge_absence,knowledge_absence_3,0.0,0.6666666666666666,0.5,0.4141199442372389,0.8928571428571429,0.009316770186335366,0.15363881401617252,-0.14752039507441148,-0.19999999999999996,0.17307692307692313,1.057053996213308,0.85
knowledge_absence,knowledge_absence_4,0.0,0.47368421052631576,0.43333333333333335,0.7134543433549142,0.696969696969697,-0.21999999999999997,-0.11354309165526666,-0.18115690454507405,0.6,-0.0185185185185186,1.001488036735074,0.6833333333333333
knowledge_absence,knowledge_absence_5,0.0,1.0,0.5,0.5059684645791929,0.84,0.07201309328968908,-0.009615384615384581,-0.17145391339048233,0.0,-0.1987577639751552,1.0332229459602602,0.8666666666666667
knowledge_absence,knowledge_absence_6,0.0,0.375,0.38333333333333336,0.6222437571702962,0.6896551724137931,0.1777777777777778,0.2692307692307693,0.4747864148791884,0.0,-0.08333333333333337,0.9786109448329634,0.7333333333333333
knowledge_absence,knowledge_absence_7,0.0,0.5294117647058824,0.48333333333333334,0.6185562381870968,0.625,-0.12727272727272732,0.0971272229822161,0.06827370450889099,-0.19999999999999996,0.012987012987012991,1.1057644749395303,0.7166666666666667
knowledge_absence,knowledge_absence_8,0.0,0.7272727272727273,0.5333333333333333,0.6100374780819718,0.8387096774193549,0.11317254174397029,0.07692307692307687,-0.05931081046589473,0.0,-0.11590296495956875,1.0582986483593768,0.8166666666666667
knowledge_absence,knowledge_absence_9,0.0,0.5333333333333333,0.6,0.4961751097010015,0.6086956521739131,-0.07364975450081834,-0.02454991816693952,-0.2855041144165919,-0.20000000000000007,0.12129380053908356,1.1413037081895068,0.75
knowledge_absence,knowledge_absence_10,0.0,0.3333333333333333,0.4,0.605730842624629,0.7096774193548387,-0.0980392156862745,-0.08348794063079779,0.26044716428464904,-0.19999999999999996,0.2777777777777778,1.0529228441127805,0.75
knowledge_absence,knowledge_absence_11,0.0,0.5625,0.5166666666666667,0.5895897592819929,0.71875,0.16346153846153844,-0.10795454545454541,0.1005205109770414,-0.19999999999999996,-0.3469721767594107,1.0859987096696593,0.7333333333333333
knowledge_absence,knowledge_absence_12,0.0,0.5789473684210527,0.48333333333333334,0.6648275493764813,0.5769230769230769,-0.02083333333333337,0.09999999999999998,0.021927661614368574,0.0,0.11111111111111116,1.0075336816900715,0.6833333333333333
knowledge_absence,knowledge_absence_13,0.0,0.43478260869565216,0.4166666666666667,0.5678092209390533,0.5714285714285714,0.0625,0.20261437908496738,-0.052183769525076786,-0.19999999999999996,0.05263157894736836,0.9955071012616317,0.6166666666666667
knowledge_absence,knowledge_absence_14,0.0,0.42857142857142855,0.5,0.46297249827373144,0.8181818181818182,-0.1527777777777778,-0.13207547169811318,0.27612576185292365,0.0,0.12962962962962965,1.0844339471436786,0.8833333333333333
knowledge_absence,knowledge_absence_15,0.0,0.2222222222222222,0.5833333333333334,0.5905859281600023,0.8148148148148148,-0.02083333333333326,-0.04575163398692805,0.012737970913445988,0.19999999999999996,-0.2596153846153846,1.0930615107852262,0.85
knowledge_absence,knowledge_absence_16,0.0,0.46153846153846156,0.5333333333333333,0.5846008755082912,0.7714285714285715,0.0625,0.04166666666666663,-0.025992581698952983,0.19999999999999996,0.042671614100185606,1.0901537573542355,0.7833333333333333
knowledge_absence,knowledge_absence_17,0.0,0.5,0.5,0.5539766317155933,0.8888888888888888,0.024844720496894346,-0.00327332242225864,-0.24508044680568408,0.0,0.2592592592592593,1.0900070712458851,0.7666666666666667
knowledge_absence,knowledge_absence_18,0.0,0.375,0.4,0.5119087908329993,0.7419354838709677,-0.1875,-0.1777777777777778,-0.05826952383460424,0.0,-0.11873840445269013,1.0103052347202721,0.7333333333333333
knowledge_absence,knowledge_absence_19,0.0,0.5833333333333334,0.43333333333333335,0.4283423080151135,0.7272727272727273,-0.0492476060191519,0.11180124223602483,0.07753701876285739,0.19999999999999996,0.0646900269541778,1.035407074188401,0.8
knowledge_absence,knowledge_absence_20,0.0,0.38461538461538464,0.5,0.5525846761787193,0.6428571428571429,0.0031055900621117516,0.09006211180124224,-0.06065690467159888,0.4,-0.038461538461538436,1.088225756490181,0.7833333333333333
knowledge_absence,knowledge_absence_21,0.0,0.45,0.43333333333333335,0.5723895947740124,0.7142857142857143,0.039999999999999925,-0.0539083557951483,0.12614466885672612,0.0,0.0,1.0336501363355408,0.6666666666666666
knowledge_absence,knowledge_absence_22,0.0,0.7857142857142857,0.65,0.4401125621891255,0.7272727272727273,0.19967266775777415,0.04823747680890533,-0.3261434350563813,0.0,0.2545454545454545,1.1420639850183145,0.7666666666666667
knowledge_absence,knowledge_absence_23,0.0,0.7692307692307693,0.6,0.6083321727825817,0.8,-0.29128014842300565,0.18322981366459623,0.09170892150329585,-0.19999999999999996,-0.07816711590296499,1.1055649569168449,0.7833333333333333
knowledge_absence,knowledge_absence_24,0.0,0.3,0.5,0.5969734776323062,0.7083333333333334,-0.06211180124223603,0.02840909090909094,0.3082882367503026,0.4,0.065359477124183,1.041239018539262,0.8333333333333334
knowledge_absence,knowledge_absence_25,0.0,0.3333333333333333,0.45,0.6431973888338971,0.7692307692307693,-0.08385093167701863,0.17701863354037262,-0.09084688367836699,0.0,-0.18000000000000005,0.9772770952199983,0.85
knowledge_absence,knowledge_absence_26,0.0,0.26666666666666666,0.45,0.515118140325676,0.76,-0.25568181818181823,-0.28846153846153844,0.1909279234501032,-0.20000000000000007,0.0,1.0675699037850352,0.75
knowledge_absence,knowledge_absence_27,0.0,0.4,0.35,0.656705947324896,0.6785714285714286,-0.0980392156862745,0.28846153846153844,0.4017208001402526,0.20000000000000007,0.06000000000000005,0.9555666534100222,0.75
knowledge_absence,knowledge_absence_28,0.0,0.35714285714285715,0.35,0.5671020187816169,0.78125,0.040000000000000036,-0.013071895424836666,0.11987956070667921,0.0,-0.019230769230769273,1.015157260448321,0.7666666666666667
