uid,n_kcs_attempted,mean_accuracy,mean_final_mastery,mastery_rate,mean_attempts_to_mastery,total_attempts,learner_type
0,14,0.8571428571428571,0.8557228054031977,0.21428571428571427,2.3333333333333335,51,0
1,20,0.7027182539682539,0.7215585224337857,0.1,3.5,89,1
3,25,0.8206089466089466,0.8982318445110864,0.16,5.0,156,1
4,24,0.7901152666777667,0.8973926748778805,0.375,3.888888888888889,196,0
5,20,0.925,0.9034083484261703,0.25,2.8,71,0
6,12,0.878968253968254,0.8730056623614981,0.25,2.0,55,0
7,22,0.8259346713892168,0.7995288755040296,0.18181818181818182,2.75,81,0
10,21,0.4649161684875971,0.5179711136541438,0.047619047619047616,3.0,151,1
11,25,0.9662583732057416,0.9726861630816594,0.76,3.3157894736842106,216,0
12,16,0.8291666666666666,0.8509348788698778,0.25,3.25,70,0
13,15,0.9783333333333334,0.986633665304375,0.4666666666666667,3.2857142857142856,90,0
15,23,0.8544221479004087,0.885880799071226,0.13043478260869565,4.333333333333333,99,0
18,24,0.8046786394648237,0.8987298833082341,0.5416666666666666,3.5384615384615383,178,0
19,15,0.8315873015873015,0.8636169826973827,0.06666666666666667,4.0,76,0
20,18,0.6197089947089948,0.6685005814468757,0.1111111111111111,3.0,66,1
23,20,0.8720328282828282,0.9196201860356916,0.45,4.111111111111111,177,0
24,14,0.8696428571428572,0.8848594207388639,0.35714285714285715,3.6,84,0
25,21,0.6868102796674225,0.7534713141733371,0.09523809523809523,3.5,124,1
26,22,0.5625278761642398,0.5838884660121789,0.09090909090909091,2.5,85,1
27,21,0.7815381708238851,0.8990548528552719,0.38095238095238093,3.625,176,0
28,16,0.9332617137764196,0.9598463160258551,0.5625,4.555555555555555,127,0
29,24,0.731724987974988,0.7899942834640674,0.125,3.6666666666666665,110,0
31,18,0.7595598845598845,0.7920716883706264,0.2777777777777778,3.6,105,0
32,25,0.9364368613842298,0.9599213919069847,0.68,3.6470588235294117,205,0
33,20,0.8222222222222222,0.8219155454358387,0.25,3.4,83,0
34,22,0.8113517795335977,0.8978554917444097,0.36363636363636365,3.375,197,0
35,21,0.9138019652305367,0.9075032352629234,0.3333333333333333,2.857142857142857,112,0
37,19,0.7960010319917441,0.8377165301382798,0.2631578947368421,3.6,101,0
38,15,0.8933333333333333,0.9070747504712862,0.3333333333333333,3.2,66,0
39,23,0.8449620427881297,0.863989135533287,0.43478260869565216,4.8,148,0
40,25,0.6847161084529506,0.7730866949509054,0.24,5.0,171,1
41,23,0.6734792700905233,0.794428531243868,0.43478260869565216,4.9,172,0
42,22,0.5505165289256199,0.6440184838196141,0.13636363636363635,2.3333333333333335,104,1
43,18,0.903927553927554,0.8957519391011269,0.2222222222222222,3.25,70,0
44,18,0.7696428571428571,0.8441121445805473,0.3888888888888889,3.2857142857142856,103,0
45,18,0.8977072310405644,0.8746586833683023,0.1111111111111111,3.0,59,0
46,21,0.916477702191988,0.9424841442045127,0.5238095238095238,3.3636363636363638,132,0
47,25,0.8463383838383838,0.8819106592652257,0.44,3.727272727272727,173,0
49,25,0.860984126984127,0.9468019406242018,0.36,3.7777777777777777,197,0
50,13,0.6446886446886447,0.6644816863630256,0.15384615384615385,2.0,46,1
51,22,0.9145923520923521,0.9410488891740617,0.5,3.727272727272727,140,0
52,14,0.8374149659863945,0.876524236202856,0.5714285714285714,3.125,87,0
53,22,0.9535123966942148,0.9735410460104249,0.6818181818181818,3.066666666666667,172,0
54,22,0.9020164179255089,0.9679043013937695,0.6818181818181818,3.6,182,0
55,23,0.9288328820937517,0.9713922600134282,0.5652173913043478,3.5384615384615383,168,0
56,21,0.8646505610791325,0.8922604506002604,0.3333333333333333,3.857142857142857,99,0
57,18,0.942640303166619,0.9758962446937711,0.5555555555555556,4.0,143,0
58,24,0.9591346153846154,0.9703850660537457,0.7916666666666666,3.8947368421052633,203,0
59,20,0.9484821428571429,0.9759830648345744,0.6,3.5833333333333335,159,0
60,21,0.6358654572940287,0.7001553219911052,0.14285714285714285,3.3333333333333335,135,1
61,25,0.8122272727272727,0.8633242241038742,0.4,3.8,176,0
62,21,0.723027898027898,0.8275136526101331,0.3333333333333333,3.5714285714285716,153,0
63,22,0.9168995146267874,0.9594794537819371,0.5454545454545454,3.4166666666666665,172,0
64,23,0.7989130434782609,0.8492484924501114,0.43478260869565216,2.9,124,0
65,19,0.9330827067669173,0.8937120646282722,0.15789473684210525,3.0,87,0
67,19,0.7873414597098808,0.8266657570394729,0.3157894736842105,4.166666666666667,108,0
68,17,0.7705864482954266,0.8348433736241616,0.23529411764705882,2.75,137,0
69,13,0.9087606837606838,0.917840177594939,0.3076923076923077,2.75,60,0
70,23,0.7971500721500722,0.8475831052676164,0.17391304347826086,4.0,143,0
71,11,0.7575757575757577,0.819847558319055,0.18181818181818182,3.0,39,1
72,14,0.8001984126984126,0.8080030333926669,0.07142857142857142,2.0,44,0
73,17,0.7991768637279474,0.8374285913794806,0.29411764705882354,4.0,112,0
74,13,0.1833403775711468,0.22774122945137254,0.0,3.375,110,1
75,24,0.671329365079365,0.7173083438106885,0.25,3.0,127,1
76,19,0.8296703296703296,0.8932086747734328,0.42105263157894735,3.375,105,0
77,21,0.47322122322122323,0.49911215476714876,0.047619047619047616,4.0,130,1
78,21,0.9543650793650794,0.9031575083621707,0.19047619047619047,2.5,86,0
79,22,0.9760489510489511,0.9423217868447213,0.22727272727272727,3.4,87,0
80,17,0.7874167885777793,0.8560886789967536,0.35294117647058826,4.166666666666667,134,0
81,22,0.9029565131837859,0.9429010525400677,0.5454545454545454,3.5,152,0
82,20,0.9201648351648352,0.9558153941068349,0.55,3.727272727272727,140,0
84,22,0.9237898465171193,0.9497290004477041,0.7272727272727273,3.5,186,0
85,20,0.783968253968254,0.7893590287291937,0.3,3.6666666666666665,120,0
87,24,0.9741319444444444,0.9869889998064901,0.5833333333333334,3.0,186,0
88,24,0.864021164021164,0.8982877823299829,0.3333333333333333,3.125,169,0
90,22,0.7437766778675869,0.8168734517251873,0.22727272727272727,2.6,148,0
91,19,0.5867376775271512,0.6469885487791075,0.10526315789473684,3.5,122,1
92,23,0.884575569358178,0.8663481189259875,0.21739130434782608,3.0,88,0
93,16,0.9791666666666666,0.9334427142177176,0.1875,2.3333333333333335,52,0
94,14,0.8903061224489796,0.8652222770722274,0.14285714285714285,2.0,52,0
95,20,0.5288095238095238,0.5527594180201134,0.05,2.0,90,1
96,18,0.8981481481481483,0.8217509829395282,0.05555555555555555,2.0,41,0
98,20,0.7968954248366014,0.8229673280735847,0.2,5.0,118,1
99,21,0.5114975632832776,0.5862139042813885,0.2857142857142857,4.666666666666667,173,1
100,21,0.6078025149453721,0.7326595216196544,0.14285714285714285,7.0,118,1
101,21,0.7950963718820862,0.8386220620998065,0.2857142857142857,3.8333333333333335,133,0
102,13,0.8,0.8266769867208474,0.07692307692307693,2.0,40,0
103,16,0.8441964285714285,0.8277702321986514,0.1875,3.3333333333333335,61,0
104,19,0.6038781163434903,0.6646204240626723,0.10526315789473684,4.0,105,1
105,22,0.8258611338156793,0.9194395074725397,0.22727272727272727,3.4,198,0
106,24,0.8090277777777778,0.8515980896308138,0.25,3.3333333333333335,109,0
107,16,0.901330266955267,0.9336498498298802,0.3125,4.0,92,0
108,20,0.9800000000000001,0.974495087138704,0.5,2.7,114,0
109,22,0.7823427038139957,0.8855835273353314,0.36363636363636365,5.625,182,1
110,22,0.8392939131575495,0.8992408525138003,0.36363636363636365,3.375,157,0
111,16,0.7423611111111111,0.7981715917721567,0.1875,3.0,69,0
112,21,0.4839468732325875,0.5808554903085992,0.19047619047619047,2.25,132,1
113,22,0.7981060606060606,0.8708634877284641,0.36363636363636365,2.875,101,0
114,20,0.7255159679501785,0.7958813929323683,0.4,3.25,147,0
115,20,0.663699494949495,0.7192236907654727,0.25,3.2,133,1
116,19,0.8752152817942292,0.916485127563488,0.3157894736842105,4.666666666666667,116,0
117,22,0.6224698281516463,0.7001511191490641,0.22727272727272727,3.6,165,1
118,21,0.8042328042328043,0.8012015159142114,0.09523809523809523,2.5,86,0
119,22,0.7451326451326451,0.7772259747984651,0.18181818181818182,3.5,129,0
121,18,0.9361111111111112,0.8755259616842429,0.16666666666666666,3.0,54,0
