kc_id,a,b,c,r2,coverage,reliable
0.0,0.11208716375920708,1.0579310280647909e-17,0.2058011207653593,0.0,5,False
1.0,0.25041725573976376,0.34447262625268227,8.557801615091618e-19,0.7744996175035592,6,True
2.0,2.0676154356806542e-07,4.999999983589683,0.11253386926691823,-1.2172745211813663e-07,9,False
3.0,0.3057989486408063,0.024635370347096085,1.5420456429310604e-11,0.035150699981960964,10,False
5.0,0.12921556721434488,0.040813476272464025,2.776331361616995e-12,0.007765811367913544,5,False
6.0,0.26902734915606386,0.0260587040110852,1.145655530814685e-09,0.4986055837663764,9,False
7.0,1.6965772001103255e-09,7.98275265717742e-06,0.21023929848350356,-9.85656001262214e-13,4,False
9.0,0.24660016741875124,0.10456809109752079,7.840214920520396e-18,0.6367471278384238,15,True
10.0,0.05182929972824116,1.086654904630837,0.24344036660469623,0.25240970275546104,12,False
11.0,0.22592356190804375,0.11227731049092092,1.0180266369730653e-14,0.34157299317341494,7,False
12.0,0.3335173742722087,0.07465668357313276,3.4460473565929844e-24,0.8404561543754118,8,True
13.0,0.08389244197446839,4.7268408923730213e-20,0.12695257687568895,-2.220446049250313e-16,4,False
14.0,0.1619846143000702,0.02616546094822761,1.434284784512704e-13,0.10816198759705664,13,False
16.0,0.2817103029725705,0.09792760421887978,6.459561701367522e-12,0.25121493945882656,8,False
17.0,3.383885586848704e-10,4.999999999435359,0.383723969198262,-3.0012459184547424e-10,4,False
18.0,0.21973720300182742,0.06002207196103829,5.228548510280902e-18,0.7687974177406753,26,True
20.0,3.4782853577661935e-08,0.00030608028779386754,0.2792789537067538,-1.1783463094161561e-10,10,False
22.0,0.2282920890614128,0.2910383663209622,4.243105363218728e-16,0.39289602378372945,4,False
23.0,0.05693774872956564,1.508129233038621,0.13043064558448972,0.54290708042146,8,True
24.0,0.15079071906372493,0.02900111448605313,2.1268519186220767e-14,0.08546913278411561,31,False
25.0,2.9807862291379467e-09,3.3608142354277204e-05,0.2527672823355186,-3.355093980417223e-12,5,False
26.0,0.23149626765147716,0.33262288778429155,3.5587847338738456e-14,0.5172197969743191,4,False
28.0,0.06850221206756589,1.084818563578476,0.0952995839607025,0.03028635461182394,12,False
29.0,0.2549804356324009,0.15948828615300045,5.958346193479574e-15,0.5431956328619086,10,True
30.0,0.19027809394910705,0.07824469536264592,5.724564725302856e-13,0.6386027393259441,8,True
31.0,0.03843242914703406,4.99999999999363,0.11911726653561984,0.43438688780457213,4,False
